gene,pathway
MAPK1,path:ptr04380
MAPK1,path:ptr04510
MAPK1,path:ptr04517
MAPK1,path:ptr04519
MAPK1,path:ptr04520
MAPK1,path:ptr04540
MAPK1,path:ptr04550
MAPK1,path:ptr04611
MAPK1,path:ptr04613
MAPK1,path:ptr04620
MAPK1,path:ptr04621
MAPK1,path:ptr04625
MAPK1,path:ptr04650
MAPK1,path:ptr04657
MAPK1,path:ptr04658
MAPK1,path:ptr04659
MAPK1,path:ptr04660
MAPK1,path:ptr04662
MAPK1,path:ptr04664
MAPK1,path:ptr04666
MAPK1,path:ptr04668
MAPK1,path:ptr04713
MAPK1,path:ptr04720
MAPK1,path:ptr04722
MAPK1,path:ptr04723
MAPK1,path:ptr04724
MAPK1,path:ptr04725
MAPK1,path:ptr04726
MAPK1,path:ptr04730
MAPK1,path:ptr04810
MAPK1,path:ptr04910
MAPK1,path:ptr04912
MAPK1,path:ptr04914
MAPK1,path:ptr04915
MAPK1,path:ptr04916
MAPK1,path:ptr04917
MAPK1,path:ptr04919
MAPK1,path:ptr04921
MAPK1,path:ptr04926
MAPK1,path:ptr04928
MAPK1,path:ptr04929
MAPK1,path:ptr04930
MAPK1,path:ptr04933
MAPK1,path:ptr04934
MAPK1,path:ptr04935
MAPK1,path:ptr04960
MAPK1,path:ptr05010
MAPK1,path:ptr05020
MAPK1,path:ptr05022
MAPK1,path:ptr05034
MAPK1,path:ptr05132
MAPK1,path:ptr05133
MAPK1,path:ptr05135
MAPK1,path:ptr05140
MAPK1,path:ptr05142
MAPK1,path:ptr05145
MAPK1,path:ptr05152
MAPK1,path:ptr05160
MAPK1,path:ptr05161
MAPK1,path:ptr05163
MAPK1,path:ptr05164
MAPK1,path:ptr05165
MAPK1,path:ptr05166
MAPK1,path:ptr05167
MAPK1,path:ptr05170
MAPK1,path:ptr05171
MAPK1,path:ptr05200
MAPK1,path:ptr05203
MAPK1,path:ptr05205
MAPK1,path:ptr05206
MAPK1,path:ptr05207
MAPK1,path:ptr05208
MAPK1,path:ptr05210
MAPK1,path:ptr05211
MAPK1,path:ptr05212
MAPK1,path:ptr05213
MAPK1,path:ptr05214
MAPK1,path:ptr05215
MAPK1,path:ptr05216
MAPK1,path:ptr05218
MAPK1,path:ptr05219
MAPK1,path:ptr05220
MAPK1,path:ptr05221
MAPK1,path:ptr05223
MAPK1,path:ptr05224
MAPK1,path:ptr05225
MAPK1,path:ptr05226
MAPK1,path:ptr05230
MAPK1,path:ptr05231
MAPK1,path:ptr05235
MAPK1,path:ptr05417
MAPK3,path:ptr01521
MAPK3,path:ptr01522
MAPK3,path:ptr01524
MAPK3,path:ptr04010
MAPK3,path:ptr04012
MAPK3,path:ptr04014
MAPK3,path:ptr04015
MAPK3,path:ptr04022
MAPK3,path:ptr04024
