gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
OR1A2,,,,0.0005,0.0046,83.0,1.0021,45.0,0.0637,48.0,-0.0893,48.0
OR1B1,,,,0.0129,0.0318,83.0,1.0112,45.0,,,,
OR1C1,,,,0.0026,0.0163,83.0,1.1244,45.0,0.0349,48.0,-0.0337,48.0
OR1D2,,,,0.0004,0.0016,83.0,1.0205,45.0,0.4662,48.0,-0.4526,48.0
OR1D4,,,,0.0026,0.0169,83.0,,,,,,
OR1D5,,,,0.002,0.0138,83.0,,0.0,0.2373,48.0,-0.2643,48.0
OR1E1,,,,0.0101,0.075,83.0,,0.0,0.0202,48.0,0.0702,48.0
OR1E2,,,,0.0016,0.0086,83.0,,0.0,0.2977,48.0,-0.3303,48.0
OR1E3,,,,0.0012,0.0077,83.0,,,,,,
OR1F1,,,,0.3327,0.3606,83.0,0.996,45.0,0.0313,48.0,0.0073,48.0
OR1G1,,,,0.0031,0.0164,83.0,1.0169,45.0,0.0384,48.0,-0.0473,48.0
OR1I1,,,,0.0003,0.0024,83.0,0.8296,45.0,0.0548,48.0,-0.0598,48.0
OR1J1,,,,0.1176,0.2189,83.0,1.0818,45.0,0.0528,48.0,-0.0562,48.0
OR1J2,,,,0.0296,0.0925,83.0,1.0646,45.0,0.01,48.0,0.1146,48.0
OR1J4,,,,0.0712,0.2035,83.0,1.0502,45.0,0.0477,48.0,-0.0626,48.0
OR1K1,,,,0.0151,0.0297,83.0,1.007,45.0,0.043,48.0,-0.0441,48.0
OR1L1,,,,0.0031,0.0126,83.0,1.0851,45.0,0.0259,48.0,-0.0029,48.0
OR1L3,,,,0.0029,0.0133,83.0,1.1209,45.0,0.0205,48.0,0.0672,48.0
OR1L4,,,,0.0114,0.0275,83.0,1.0011,45.0,0.0371,48.0,-0.0286,48.0
OR1L6,,,,0.0016,0.0074,83.0,1.0366,45.0,0.0691,48.0,-0.0878,48.0
OR1L8,,,,0.0398,0.0613,83.0,1.0159,45.0,0.0247,48.0,0.0059,48.0
OR1M1,,,,0.0058,0.0131,83.0,0.8386,45.0,0.0421,48.0,-0.0475,48.0
OR1N1,,,,0.0085,0.027,83.0,1.0757,45.0,0.0385,48.0,-0.0336,48.0
OR1N2,0.0,0.0,131.0,0.0034,0.0124,83.0,1.0567,45.0,0.0403,48.0,-0.0409,48.0
OR1P1,,,,0.004,0.0198,83.0,,,,,,
OR1Q1,,,,0.0311,0.0807,83.0,1.0665,45.0,0.0682,48.0,-0.1108,48.0
OR1R1P,,,,,,,0.916,45.0,,,,
OR1S1,0.0,0.0,131.0,0.0,0.0,83.0,0.9504,45.0,,,,
OR1S2,,,,0.0,0.0,83.0,0.959,45.0,,,,
OR2A1,,,,0.1284,0.1072,83.0,,0.0,,,,
OR2A12,,,,0.0153,0.0227,83.0,1.1494,45.0,0.0252,48.0,0.03,48.0
OR2A14,,,,0.0237,0.033,83.0,1.1419,45.0,0.1025,48.0,-0.1449,48.0
OR2A2,,,,0.0212,0.0394,83.0,1.1261,45.0,0.0223,48.0,0.0226,48.0
OR2A25,,,,0.0142,0.0292,83.0,1.1592,45.0,0.0271,48.0,0.0136,48.0
OR2A4,,,,0.0175,0.0646,83.0,,0.0,,,,
OR2A42,,,,0.0993,0.1073,83.0,,0.0,,,,
OR2A5,0.0,0.0,131.0,0.004,0.0088,83.0,1.1436,45.0,0.0327,48.0,-0.0244,48.0
OR2A7,,,,1.6894,1.0541,83.0,,0.0,,,,
OR2AE1,,,,0.0656,0.087,83.0,1.2879,45.0,0.0793,48.0,-0.1186,48.0
OR2AG1,,,,0.0074,0.0117,83.0,0.9802,45.0,0.0187,48.0,0.0366,48.0
OR2AG2,,,,0.0784,0.0897,83.0,0.9531,45.0,0.0214,48.0,0.0373,48.0
OR2AJ1,,,,0.0031,0.0108,83.0,1.0926,45.0,0.0001,2.0,0.5713,2.0
OR2AK2,,,,0.0046,0.0187,83.0,1.0824,45.0,,,,
OR2AP1,,,,0.0002,0.0021,83.0,1.1415,45.0,0.064,48.0,-0.0962,48.0
OR2AT4,,,,0.0183,0.0347,83.0,1.238,45.0,0.0179,48.0,0.0632,48.0
OR2B11,,,,0.011,0.0421,83.0,1.0838,45.0,0.0574,48.0,-0.0793,48.0
OR2B2,,,,0.0108,0.02,83.0,0.973,45.0,0.1228,48.0,-0.1852,48.0
OR2B3,,,,0.0038,0.0163,83.0,1.0792,45.0,0.0281,48.0,-0.0105,48.0
OR2B6,,,,0.5855,0.538,83.0,1.0213,45.0,0.0628,48.0,-0.0848,48.0
OR2B8,,,,0.0374,0.0989,83.0,,,,,,
OR2C1,,,,0.0193,0.0393,83.0,0.951,45.0,0.0436,48.0,-0.0272,48.0
OR2C3,,,,0.0322,0.2261,83.0,1.1181,45.0,0.0997,48.0,-0.1343,48.0
OR2D2,,,,0.0166,0.0519,83.0,0.9539,45.0,0.032,48.0,-0.0214,48.0
OR2D3,,,,0.0063,0.0178,83.0,0.9301,45.0,0.0143,48.0,0.0627,48.0
OR2F1,,,,0.007,0.0236,83.0,1.126,45.0,,,,
OR2F2,,,,0.0024,0.0175,83.0,1.0347,45.0,0.0277,48.0,0.0065,48.0
