id,entry_id,label,type,name,link,graphics,component_entry_ids
entry_154,154,"PRR5, FLJ20185k, PP610, PROTOR-1, PROTOR1...",gene,hsa:55615 hsa:79899,https://www.kegg.jp/dbget-bin/www_bget?hsa:55615+hsa:79899,"{""name"": ""PRR5, FLJ20185k, PP610, PROTOR-1, PROTOR1..."", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 685, ""y"": 645, ""width"": 46, ""height"": 17}",[]
entry_155,155,"DEPTOR, DEP.6, DEPDC6, hDEPTOR",gene,hsa:64798,https://www.kegg.jp/dbget-bin/www_bget?hsa:64798,"{""name"": ""DEPTOR, DEP.6, DEPDC6, hDEPTOR"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 817, ""y"": 578, ""width"": 46, ""height"": 17}",[]
entry_156,156,"MLST8, GBL, GbetaL, LST8, POP3, WAT1",gene,hsa:64223,https://www.kegg.jp/dbget-bin/www_bget?hsa:64223,"{""name"": ""MLST8, GBL, GbetaL, LST8, POP3, WAT1"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 817, ""y"": 602, ""width"": 46, ""height"": 17}",[]
entry_157,157,"RICTOR, AVO3, PIA, hAVO3",gene,hsa:253260,https://www.kegg.jp/dbget-bin/www_bget?hsa:253260,"{""name"": ""RICTOR, AVO3, PIA, hAVO3"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 685, ""y"": 615, ""width"": 46, ""height"": 17}",[]
entry_158,158,"MAPKAP1, JC310, MIP1, SIN1, SIN1b, SIN1g",gene,hsa:79109,https://www.kegg.jp/dbget-bin/www_bget?hsa:79109,"{""name"": ""MAPKAP1, JC310, MIP1, SIN1, SIN1b, SIN1g"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 685, ""y"": 585, ""width"": 46, ""height"": 17}",[]
entry_161,161,"TTI1, KIAA0406, NEDMIM, smg-10",gene,hsa:9675,https://www.kegg.jp/dbget-bin/www_bget?hsa:9675,"{""name"": ""TTI1, KIAA0406, NEDMIM, smg-10"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 817, ""y"": 650, ""width"": 46, ""height"": 17}",[]
entry_162,162,"TELO2, CLK2, TEL2, YHFS",gene,hsa:9894,https://www.kegg.jp/dbget-bin/www_bget?hsa:9894,"{""name"": ""TELO2, CLK2, TEL2, YHFS"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 817, ""y"": 626, ""width"": 46, ""height"": 17}",[]
entry_181,181,AMPK signaling pathway,map,path:hsa04152,https://www.kegg.jp/dbget-bin/www_bget?hsa04152,"{""name"": ""AMPK signaling pathway"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 471, ""y"": 284, ""width"": 95, ""height"": 32}",[]
entry_183,183,Regulation of actin cytoskeleton,map,path:hsa04810,https://www.kegg.jp/dbget-bin/www_bget?hsa04810,"{""name"": ""Regulation of actin cytoskeleton"", ""type"": ""roundrectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#FFFFFF"", ""x"": 1227, ""y"": 593, ""width"": 98, ""height"": 32}",[]
entry_184,184,GSK3B,gene,hsa:2932,https://www.kegg.jp/dbget-bin/www_bget?hsa:2932,"{""name"": ""GSK3B"", ""type"": ""rectangle"", ""fgcolor"": ""#000000"", ""bgcolor"": ""#BFFFBF"", ""x"": 338, ""y"": 349, ""width"": 46, ""height"": 17}",[]
